,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
544,Sorghum grain,100 g,329,3.5g,0.6g,0,2.00 mg,0,20.00 mcg,0.00 mcg,3.688 mg,0.367 mg,0.096 mg,0.332 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.443 mg,0.0 mg,0.00 IU,0.50 mg,0.50 mg,0,13.00 mg,0.284 mg,3.36 mg,165.00 mg,1.605 mg,289.00 mg,363.00 mg,12.2 mcg,1.67 mg,10.62 g,1.033 g,0.355 g,0.743 g,0.127 g,2.439 g,0.346 g,0.246 g,0,0.433 g,1.491 g,0.229 g,0.169 g,0.546 g,0.852 g,0.462 g,0.346 g,0.124 g,0.321 g,0.561 g,72.09 g,6.7 g,2.53 g,0,0,0,0,0,0,3.46 g,0.610 g,1.131 g,1.558 g,0.00 mg,0,1.43 g,0,0,12.40 g
545,"Oil, hazelnut",100 g,884,100g,7.4g,0,0.00 mg,0,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0,47.20 mg,47.20 mg,0,0.00 mg,0,0.00 mg,0.00 mg,0,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,100.00 g,7.400 g,78.000 g,10.200 g,0.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.00 g
546,"Pepeao, dried",100 g,298,0.4g,,0,70.00 mg,0,160.00 mcg,0.00 mcg,3.000 mg,21.477 mg,0.350 mg,0.826 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.950 mg,1.4 mg,0.00 IU,0,0,0,113.00 mg,5.070 mg,6.14 mg,146.00 mg,1.151 mg,116.00 mg,708.00 mg,45.3 mcg,7.52 mg,4.82 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.03 g,0,0,0,0,0,0,0,0,0.44 g,0,0,0,0.00 mg,0,2.57 g,0,0,11.14 g
547,"Purslane, raw",100 g,20,0.4g,,0,45.00 mg,12.8 mg,12.00 mcg,0.00 mcg,0.480 mg,0.036 mg,0.112 mg,0.047 mg,1320.00 IU,0,0,0,0,0,0,0.00 mcg,0.073 mg,21.0 mg,0.00 IU,0,0,0,65.00 mg,0.113 mg,1.99 mg,68.00 mg,0.303 mg,44.00 mg,494.00 mg,0.9 mcg,0.17 mg,2.03 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39 g,0,0,0,0,0,0,0,0,0.36 g,0,0,0,0.00 mg,0.0 g,1.36 g,0.00 mg,0.00 mg,92.86 g
548,"Radishes, raw",100 g,16,0.1g,,0,39.00 mg,6.5 mg,25.00 mcg,0.00 mcg,0.254 mg,0.165 mg,0.039 mg,0.012 mg,7.00 IU,0.00 mcg,0.00 mcg,4.00 mcg,0.00 mcg,10.00 mcg,0,0.00 mcg,0.071 mg,14.8 mg,0.00 IU,0.00 mg,0.00 mg,1.3 mcg,25.00 mg,0.050 mg,0.34 mg,10.00 mg,0.069 mg,20.00 mg,233.00 mg,0.6 mcg,0.28 mg,0.68 g,0.026 g,0.038 g,0.064 g,0.010 g,0.157 g,0.026 g,0.013 g,0,0.020 g,0.031 g,0.033 g,0.010 g,0.036 g,0.022 g,0.027 g,0.023 g,0.009 g,0.009 g,0.035 g,3.40 g,1.6 g,1.86 g,0.71 g,0.00 g,1.05 g,0.00 g,0.00 g,0.10 g,0.10 g,0.032 g,0.017 g,0.048 g,0.00 mg,0.0 g,0.55 g,0.00 mg,0.00 mg,95.27 g
549,"Rolls, french",100 g,277,4.3g,1g,0,574.00 mg,14.8 mg,113.00 mcg,80.00 mcg,4.352 mg,0.452 mg,0.300 mg,0.523 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,50.00 mcg,0,0.00 mcg,0.039 mg,0.0 mg,0.00 IU,0.30 mg,0.30 mg,1.8 mcg,91.00 mg,0.135 mg,2.71 mg,20.00 mg,0.559 mg,84.00 mg,114.00 mg,27.9 mcg,0.90 mg,8.60 g,0.302 g,0.320 g,0.414 g,0.182 g,2.772 g,0.309 g,0.188 g,0,0.336 g,0.608 g,0.231 g,0.153 g,0.422 g,0.926 g,0.416 g,0.255 g,0.099 g,0.249 g,0.380 g,50.20 g,3.2 g,0.31 g,0,0,0,0,0,0,4.30 g,0.962 g,1.961 g,0.834 g,0.00 mg,0.0 g,1.90 g,0.00 mg,0.00 mg,34.80 g
550,"Bagels, wheat",100 g,250,1.5g,,0,439.00 mg,9.8 mg,76.00 mcg,46.00 mcg,3.370 mg,0.375 mg,0.209 mg,0.403 mg,0.00 IU,0.00 mcg,0.00 mcg,2.00 mcg,0.00 mcg,88.00 mcg,0,0.00 mcg,0.147 mg,0.0 mg,0.00 IU,0.32 mg,0.32 mg,1.5 mcg,20.00 mg,0.175 mg,2.76 mg,51.00 mg,1.430 mg,142.00 mg,165.00 mg,28.7 mcg,1.10 mg,10.20 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.89 g,4.1 g,6.12 g,0,0,0,0,0,0,1.53 g,0.000 g,0.290 g,0.936 g,0.00 mg,0.0 g,1.82 g,0.00 mg,0.00 mg,37.55 g
551,"KFC, Coleslaw",100 g,144,8.6g,1.3g,2mg,189.00 mg,0,0,0,0.206 mg,0.242 mg,0.015 mg,0.037 mg,4.00 IU,1.00 mcg,0,0,0,0,0,0.03 mcg,0.121 mg,14.6 mg,0,0.54 mg,0.54 mg,70.9 mcg,28.00 mg,0.016 mg,0.21 mg,9.00 mg,0.121 mg,20.00 mg,140.00 mg,0,0.15 mg,0.91 g,0.051 g,0.043 g,0.068 g,0.008 g,0.162 g,0.025 g,0.017 g,0,0.025 g,0.034 g,0.034 g,0.017 g,0.025 g,0.051 g,0.034 g,0.025 g,0.008 g,0.017 g,0.034 g,15.65 g,2.0 g,13.54 g,1.45 g,0.19 g,1.72 g,0.00 g,0.00 g,10.18 g,8.64 g,1.303 g,1.963 g,4.888 g,2.00 mg,0,0.81 g,0,0,73.99 g
552,"Parsnips, raw",100 g,75,0.3g,0.1g,0,10.00 mg,0,67.00 mcg,0.00 mcg,0.700 mg,0.600 mg,0.050 mg,0.090 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.090 mg,17.0 mg,0.00 IU,1.49 mg,1.49 mg,22.5 mcg,36.00 mg,0.120 mg,0.59 mg,29.00 mg,0.560 mg,71.00 mg,375.00 mg,1.8 mcg,0.59 mg,1.20 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.99 g,4.9 g,4.80 g,0,0,0,0,0,0,0.30 g,0.050 g,0.112 g,0.047 g,0.00 mg,0,0.98 g,0.00 mg,0.00 mg,79.53 g
553,"Sugars, maple",100 g,354,0.2g,,0,11.00 mg,2.1 mg,0.00 mcg,0.00 mcg,0.040 mg,0.048 mg,0.013 mg,0.009 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.003 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,90.00 mg,0.099 mg,1.61 mg,19.00 mg,4.422 mg,3.00 mg,274.00 mg,0.8 mcg,6.06 mg,0.10 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.90 g,0.0 g,84.87 g,0,0,0,0,0,0,0.20 g,0.036 g,0.064 g,0.100 g,0.00 mg,0.0 g,0.80 g,0.00 mg,0.00 mg,8.00 g
554,"Collards, raw",100 g,32,0.6g,0.1g,0,17.00 mg,23.2 mg,129.00 mcg,0.00 mcg,0.742 mg,0.267 mg,0.130 mg,0.054 mg,5019.00 IU,251.00 mcg,14.00 mcg,2991.00 mcg,28.00 mcg,4323.00 mcg,0,0.00 mcg,0.165 mg,35.3 mg,0.00 IU,2.26 mg,2.26 mg,437.1 mcg,232.00 mg,0.046 mg,0.47 mg,27.00 mg,0.658 mg,25.00 mg,213.00 mg,1.3 mcg,0.21 mg,3.02 g,0.105 g,0.125 g,0.187 g,0.025 g,0.204 g,0.094 g,0.047 g,0,0.100 g,0.151 g,0.117 g,0.033 g,0.087 g,0.105 g,0.078 g,0.086 g,0.031 g,0.066 g,0.120 g,5.42 g,4.0 g,0.46 g,0,0,0,0,0,0,0.61 g,0.055 g,0.030 g,0.201 g,0.00 mg,0.0 g,1.32 g,0.00 mg,0.00 mg,89.62 g
555,Rice crackers,100 g,416,5g,,0,233.00 mg,33.4 mg,22.00 mcg,0.00 mcg,5.537 mg,1.624 mg,0.101 mg,0.436 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.554 mg,0.0 mg,0.00 IU,1.26 mg,1.26 mg,2.1 mcg,0.00 mg,0.301 mg,0.00 mg,156.00 mg,4.071 mg,362.00 mg,243.00 mg,25.5 mcg,2.20 mg,10.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.64 g,0.0 g,0.00 g,0,0,0,0,0,0,5.00 g,0.000 g,3.021 g,1.641 g,0.00 mg,0.0 g,2.24 g,0.00 mg,0.00 mg,0.11 g
556,"Cheese, colby",100 g,394,32g,20g,95mg,604.00 mg,15.4 mg,18.00 mcg,0.00 mcg,0.093 mg,0.210 mg,0.375 mg,0.015 mg,994.00 IU,264.00 mcg,0.00 mcg,82.00 mcg,0.00 mcg,0.00 mcg,0,0.83 mcg,0.079 mg,0.0 mg,24.00 IU,0.28 mg,0.28 mg,2.7 mcg,685.00 mg,0.042 mg,0.76 mg,26.00 mg,0.012 mg,457.00 mg,127.00 mg,14.5 mcg,3.07 mg,23.76 g,0.670 g,0.898 g,1.527 g,0.119 g,5.813 g,0.410 g,0.834 g,0,1.475 g,2.275 g,1.978 g,0.622 g,1.251 g,2.678 g,1.389 g,0.845 g,0.305 g,1.147 g,1.586 g,2.57 g,0.0 g,0.52 g,0,0,0,0,0,0,32.11 g,20.218 g,9.280 g,0.953 g,95.00 mg,0.0 g,3.36 g,0.00 mg,0.00 mg,38.20 g
557,"Cheese, cream",100 g,350,34g,20g,101mg,314.00 mg,27.2 mg,9.00 mcg,0.00 mcg,0.091 mg,0.517 mg,0.230 mg,0.023 mg,1111.00 IU,308.00 mcg,1.00 mcg,59.00 mcg,2.00 mcg,7.00 mcg,0,0.22 mcg,0.056 mg,0.0 mg,0.00 IU,0.86 mg,0.86 mg,2.1 mcg,97.00 mg,0.018 mg,0.11 mg,9.00 mg,0.011 mg,107.00 mg,132.00 mg,8.6 mcg,0.50 mg,6.15 g,0.184 g,0.235 g,0.514 g,0.042 g,1.304 g,0.142 g,0.175 g,0.000 g,0.324 g,0.657 g,0.567 g,0.191 g,0.291 g,0.665 g,0.374 g,0.233 g,0.069 g,0.303 g,0.395 g,5.52 g,0.0 g,3.76 g,0.00 g,0.00 g,0.00 g,3.76 g,0.00 g,0.00 g,34.44 g,20.213 g,8.907 g,1.483 g,101.00 mg,0.0 g,1.27 g,0.00 mg,0.00 mg,52.62 g
558,"Bologna, pork",100 g,247,20g,6.8g,59mg,907.00 mg,54.4 mg,5.00 mcg,0.00 mcg,3.900 mg,0.720 mg,0.157 mg,0.523 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.93 mcg,0.270 mg,0.0 mg,56.00 IU,0.26 mg,0.26 mg,0.3 mcg,11.00 mg,0.080 mg,0.77 mg,14.00 mg,0.036 mg,139.00 mg,281.00 mg,12.7 mcg,2.03 mg,15.30 g,0.979 g,1.004 g,1.403 g,0.171 g,2.296 g,1.077 g,0.482 g,0,0.663 g,1.168 g,1.204 g,0.412 g,0.585 g,0.773 g,0.634 g,0.641 g,0.149 g,0.482 g,0.737 g,0.73 g,0.0 g,0.00 g,0,0,0,0,0,0,19.87 g,6.839 g,9.732 g,2.107 g,59.00 mg,0.0 g,3.50 g,0.00 mg,0.00 mg,60.60 g
559,"Celeriac, raw",100 g,42,0.3g,0.1g,0,100.00 mg,9.0 mg,8.00 mcg,0.00 mcg,0.700 mg,0.352 mg,0.060 mg,0.050 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,1.00 mcg,0,0.00 mcg,0.165 mg,8.0 mg,0.00 IU,0.36 mg,0.36 mg,41.0 mcg,43.00 mg,0.070 mg,0.70 mg,20.00 mg,0.158 mg,115.00 mg,300.00 mg,0.7 mcg,0.33 mg,1.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.20 g,1.8 g,1.60 g,0,0,0,0,0,0,0.30 g,0.079 g,0.058 g,0.148 g,0.00 mg,0.0 g,1.00 g,0.00 mg,0.00 mg,88.00 g
560,"Kumquats, raw",100 g,71,0.9g,0.1g,0,10.00 mg,8.4 mg,17.00 mcg,0.00 mcg,0.429 mg,0.208 mg,0.090 mg,0.037 mg,290.00 IU,15.00 mcg,155.00 mcg,0.00 mcg,193.00 mcg,129.00 mcg,0,0.00 mcg,0.036 mg,43.9 mg,0.00 IU,0.15 mg,0.15 mg,0.0 mcg,62.00 mg,0.095 mg,0.86 mg,20.00 mg,0.135 mg,19.00 mg,186.00 mg,0.0 mcg,0.17 mg,1.88 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.90 g,6.5 g,9.36 g,0,0,0,0,0,0,0.86 g,0.103 g,0.154 g,0.171 g,0.00 mg,0.0 g,0.52 g,0.00 mg,0.00 mg,80.85 g
561,"Oat bran, raw",100 g,246,7g,1.3g,0,4.00 mg,32.2 mg,52.00 mcg,0.00 mcg,0.934 mg,1.494 mg,0.220 mg,1.170 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,180.00 mcg,0,0.00 mcg,0.165 mg,0.0 mg,0.00 IU,1.01 mg,1.01 mg,3.2 mcg,58.00 mg,0.403 mg,5.41 mg,235.00 mg,5.630 mg,734.00 mg,566.00 mg,45.2 mcg,3.11 mg,17.30 g,0.872 g,1.279 g,1.576 g,0.576 g,3.748 g,0.947 g,0.410 g,0,0.668 g,1.374 g,0.760 g,0.335 g,0.908 g,0.982 g,0.890 g,0.502 g,0.335 g,0.668 g,0.964 g,66.22 g,15.4 g,1.45 g,0,0,0,0,0,0,7.03 g,1.328 g,2.376 g,2.766 g,0.00 mg,0.0 g,2.89 g,0.00 mg,0.00 mg,6.55 g
562,"Spelt, cooked",100 g,127,0.9g,,0,5.00 mg,0,13.00 mcg,0.00 mcg,2.570 mg,0,0.030 mg,0.103 mg,4.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.080 mg,0.0 mg,0,0.26 mg,0.26 mg,0,10.00 mg,0.215 mg,1.67 mg,49.00 mg,1.091 mg,150.00 mg,143.00 mg,4.0 mcg,1.25 mg,5.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.44 g,3.9 g,0,0,0,0,0,0,0,0.85 g,0,0,0,0.00 mg,0,0.65 g,0,0,66.56 g
563,"Bread, cheese",100 g,408,21g,6.3g,10mg,750.00 mg,8.5 mg,107.00 mcg,75.00 mcg,3.279 mg,0.350 mg,0.303 mg,0.433 mg,93.00 IU,24.00 mcg,1.00 mcg,9.00 mcg,0.00 mcg,45.00 mcg,0,0.24 mcg,0.048 mg,0.0 mg,2.00 IU,1.49 mg,1.49 mg,32.4 mcg,90.00 mg,0.086 mg,2.49 mg,17.00 mg,0.366 mg,120.00 mg,84.00 mg,19.8 mcg,0.96 mg,10.42 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.83 g,2.1 g,2.08 g,0,0,0,0,0,0,20.83 g,6.250 g,4.339 g,9.203 g,10.00 mg,0.0 g,2.79 g,0.00 mg,0.00 mg,21.13 g
564,"Bread, potato",100 g,266,3.1g,,0,375.00 mg,18.4 mg,126.00 mcg,33.00 mcg,1.250 mg,0.817 mg,0.106 mg,0.188 mg,89.00 IU,24.00 mcg,0.00 mcg,6.00 mcg,0.00 mcg,17.00 mcg,0,0.15 mcg,0.232 mg,0.0 mg,2.00 IU,0.47 mg,0.47 mg,6.8 mcg,188.00 mg,0.094 mg,2.25 mg,28.00 mg,0.253 mg,369.00 mg,718.00 mg,9.5 mcg,1.44 mg,12.50 g,0.243 g,0.265 g,0.533 g,0.086 g,1.352 g,0.204 g,0.143 g,0,0.268 g,0.440 g,0.311 g,0.112 g,0.285 g,0.479 g,0.275 g,0.224 g,0.081 g,0.213 g,0.305 g,47.07 g,6.3 g,9.38 g,0,0,0,0,0,0,3.13 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,3.76 g,0.00 mg,0.00 mg,33.55 g
565,"Kohlrabi, raw",100 g,27,0.1g,,0,20.00 mg,12.3 mg,16.00 mcg,0.00 mcg,0.400 mg,0.165 mg,0.020 mg,0.050 mg,36.00 IU,2.00 mcg,0.00 mcg,22.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.150 mg,62.0 mg,0.00 IU,0.48 mg,0.48 mg,0.1 mcg,24.00 mg,0.129 mg,0.40 mg,19.00 mg,0.139 mg,46.00 mg,350.00 mg,0.7 mcg,0.03 mg,1.70 g,0,0.105 g,0,0.007 g,0,0,0.019 g,0,0.078 g,0.067 g,0.056 g,0.013 g,0.039 g,0,0,0.049 g,0.010 g,0,0.050 g,6.20 g,3.6 g,2.60 g,0,0,0,0,0,0,0.10 g,0.013 g,0.007 g,0.048 g,0.00 mg,0.0 g,1.00 g,0.00 mg,0.00 mg,91.00 g
566,"Cheese, swiss",100 g,393,31g,18g,93mg,187.00 mg,15.5 mg,10.00 mcg,0.00 mcg,0.064 mg,0.353 mg,0.302 mg,0.011 mg,1047.00 IU,288.00 mcg,1.00 mcg,61.00 mcg,2.00 mcg,8.00 mcg,0,3.06 mcg,0.071 mg,0.0 mg,0.00 IU,0.60 mg,0.60 mg,1.4 mcg,890.00 mg,0.047 mg,0.13 mg,33.00 mg,0.026 mg,574.00 mg,72.00 mg,30.0 mcg,4.37 mg,26.96 g,0.914 g,0.927 g,1.569 g,0.290 g,5.704 g,0.508 g,1.065 g,0,1.537 g,2.959 g,2.585 g,0.784 g,1.662 g,3.690 g,1.640 g,1.038 g,0.401 g,1.693 g,2.139 g,1.44 g,0.0 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,30.99 g,18.227 g,8.046 g,1.341 g,93.00 mg,0.0 g,2.97 g,0.00 mg,0.00 mg,37.63 g
567,"Cheese, gouda",100 g,356,27g,18g,114mg,819.00 mg,15.4 mg,21.00 mcg,0.00 mcg,0.063 mg,0.340 mg,0.334 mg,0.030 mg,563.00 IU,165.00 mcg,0.00 mcg,10.00 mcg,0.00 mcg,0.00 mcg,0,1.54 mcg,0.080 mg,0.0 mg,20.00 IU,0.24 mg,0.24 mg,2.3 mcg,700.00 mg,0.036 mg,0.24 mg,29.00 mg,0.011 mg,546.00 mg,121.00 mg,14.5 mcg,3.90 mg,24.94 g,0.762 g,0.962 g,1.743 g,0.254 g,6.137 g,0.485 g,1.032 g,0,1.306 g,2.564 g,2.654 g,0.719 g,1.431 g,3.245 g,1.544 g,0.930 g,0.352 g,1.454 g,1.806 g,2.22 g,0.0 g,2.22 g,0,0,0,0,0,0,27.44 g,17.614 g,7.747 g,0.657 g,114.00 mg,0.0 g,3.94 g,0.00 mg,0.00 mg,41.46 g
568,Tomato powder,100 g,302,0.4g,0.1g,0,134.00 mg,0,120.00 mcg,0.00 mcg,9.133 mg,3.760 mg,0.761 mg,0.913 mg,17247.00 IU,862.00 mcg,0.00 mcg,10348.00 mcg,0.00 mcg,1370.00 mcg,0,0.00 mcg,0.457 mg,116.7 mg,0.00 IU,12.25 mg,12.25 mg,48.8 mcg,166.00 mg,1.241 mg,4.56 mg,178.00 mg,1.951 mg,295.00 mg,1927.00 mg,5.3 mcg,1.71 mg,12.91 g,0.405 g,0.258 g,1.617 g,0.076 g,5.163 g,0.213 g,0.204 g,0,0.250 g,0.359 g,0.370 g,0.066 g,0.273 g,0.283 g,0.308 g,0.295 g,0.089 g,0.173 g,0.264 g,74.68 g,16.5 g,43.90 g,0,0,0,0,0,0,0.44 g,0.062 g,0.066 g,0.179 g,0.00 mg,0.0 g,8.91 g,0,0,3.06 g
569,"Cheese, blue",100 g,353,29g,19g,75mg,1146.00 mg,15.4 mg,36.00 mcg,0.00 mcg,1.016 mg,1.729 mg,0.382 mg,0.029 mg,721.00 IU,198.00 mcg,0.00 mcg,74.00 mcg,0.00 mcg,0.00 mcg,0,1.22 mcg,0.166 mg,0.0 mg,21.00 IU,0.25 mg,0.25 mg,2.4 mcg,528.00 mg,0.040 mg,0.31 mg,23.00 mg,0.009 mg,387.00 mg,256.00 mg,14.5 mcg,2.66 mg,21.40 g,0.644 g,0.711 g,1.436 g,0.107 g,5.179 g,0.406 g,0.758 g,0,1.124 g,1.919 g,1.852 g,0.584 g,1.087 g,2.100 g,1.120 g,0.785 g,0.312 g,1.295 g,1.556 g,2.34 g,0.0 g,0.50 g,0,0,0,0,0,0,28.74 g,18.669 g,7.778 g,0.800 g,75.00 mg,0.0 g,5.11 g,0.00 mg,0.00 mg,42.41 g
570,"Cheese, brie",100 g,334,28g,17g,100mg,629.00 mg,15.4 mg,65.00 mcg,0.00 mcg,0.380 mg,0.690 mg,0.520 mg,0.070 mg,592.00 IU,174.00 mcg,0.00 mcg,9.00 mcg,0.00 mcg,0.00 mcg,0,1.65 mcg,0.235 mg,0.0 mg,20.00 IU,0.24 mg,0.24 mg,2.3 mcg,184.00 mg,0.019 mg,0.50 mg,20.00 mg,0.034 mg,188.00 mg,152.00 mg,14.5 mcg,2.38 mg,20.75 g,0.859 g,0.735 g,1.350 g,0.114 g,4.387 g,0.397 g,0.716 g,0,1.015 g,1.929 g,1.851 g,0.592 g,1.158 g,2.459 g,1.168 g,0.751 g,0.322 g,1.200 g,1.340 g,0.45 g,0.0 g,0.45 g,0,0,0,0,0,0,27.68 g,17.410 g,8.013 g,0.826 g,100.00 mg,0.0 g,2.70 g,0.00 mg,0.00 mg,48.42 g
571,"Celtuce, raw",100 g,18,0.3g,,0,11.00 mg,0,46.00 mcg,0.00 mcg,0.550 mg,0.183 mg,0.070 mg,0.055 mg,3500.00 IU,175.00 mcg,0,0,0,0,0,0.00 mcg,0.050 mg,19.5 mg,0.00 IU,0,0,0,39.00 mg,0.040 mg,0.55 mg,28.00 mg,0.688 mg,39.00 mg,330.00 mg,0.9 mcg,0.27 mg,0.85 g,0.037 g,0.046 g,0.093 g,0.010 g,0.119 g,0.037 g,0.015 g,0,0.055 g,0.052 g,0.055 g,0.010 g,0.036 g,0.032 g,0.026 g,0.039 g,0.006 g,0.021 g,0.046 g,3.65 g,1.7 g,0,0,0,0,0,0,0,0.30 g,0,0,0,0.00 mg,0,0.70 g,0,0,94.50 g
572,"Thyme, fresh",100 g,101,1.7g,0.5g,0,9.00 mg,0,45.00 mcg,0.00 mcg,1.824 mg,0.409 mg,0.471 mg,0.048 mg,4751.00 IU,238.00 mcg,0,2851.00 mcg,0,0,0,0.00 mcg,0.348 mg,160.1 mg,0.00 IU,0,0,0,405.00 mg,0.555 mg,17.45 mg,160.00 mg,1.719 mg,106.00 mg,609.00 mg,0,1.81 mg,5.56 g,0,0,0,0,0,0,0,0,0.285 g,0.262 g,0.126 g,0,0,0,0,0.154 g,0.114 g,0,0.307 g,24.45 g,14.0 g,0,0,0,0,0,0,0,1.68 g,0.467 g,0.081 g,0.532 g,0.00 mg,0,3.20 g,0,0,65.11 g
573,"Basil, fresh",100 g,23,0.6g,,0,4.00 mg,11.4 mg,68.00 mcg,0.00 mcg,0.902 mg,0.209 mg,0.076 mg,0.034 mg,5275.00 IU,264.00 mcg,0.00 mcg,3142.00 mcg,46.00 mcg,5650.00 mcg,0,0.00 mcg,0.155 mg,18.0 mg,0.00 IU,0.80 mg,0.80 mg,414.8 mcg,177.00 mg,0.385 mg,3.17 mg,64.00 mg,1.148 mg,56.00 mg,295.00 mg,0.3 mcg,0.81 mg,3.15 g,0.132 g,0.117 g,0.301 g,0.028 g,0.277 g,0.122 g,0.051 g,0,0.104 g,0.191 g,0.110 g,0.036 g,0.130 g,0.104 g,0.099 g,0.104 g,0.039 g,0.077 g,0.127 g,2.65 g,1.6 g,0.30 g,0.02 g,0.27 g,0.02 g,0.00 g,0.00 g,0.00 g,0.64 g,0.041 g,0.088 g,0.389 g,0.00 mg,0.0 g,1.49 g,0.00 mg,0.00 mg,92.06 g
574,"Rhubarb, raw",100 g,21,0.2g,0.1g,0,4.00 mg,6.1 mg,7.00 mcg,0.00 mcg,0.300 mg,0.085 mg,0.030 mg,0.020 mg,102.00 IU,5.00 mcg,0.00 mcg,61.00 mcg,0.00 mcg,170.00 mcg,0,0.00 mcg,0.024 mg,8.0 mg,0.00 IU,0.27 mg,0.27 mg,29.3 mcg,86.00 mg,0.021 mg,0.22 mg,12.00 mg,0.196 mg,14.00 mg,288.00 mg,1.1 mcg,0.10 mg,0.90 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54 g,1.8 g,1.10 g,0,0,0,0,0,0,0.20 g,0.053 g,0.039 g,0.099 g,0.00 mg,0.0 g,0.76 g,0.00 mg,0.00 mg,93.61 g
575,"Nopales, raw",100 g,16,0.1g,,0,21.00 mg,7.3 mg,3.00 mcg,0.00 mcg,0.410 mg,0.167 mg,0.041 mg,0.012 mg,457.00 IU,23.00 mcg,48.00 mcg,250.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.070 mg,9.3 mg,0.00 IU,0.00 mg,0.00 mg,5.3 mcg,164.00 mg,0.052 mg,0.59 mg,52.00 mg,0.457 mg,16.00 mg,257.00 mg,0.7 mcg,0.25 mg,1.32 g,0.050 g,0.052 g,0.086 g,0.008 g,0.145 g,0.046 g,0.025 g,0,0.049 g,0.077 g,0.059 g,0.015 g,0.049 g,0.043 g,0.043 g,0.040 g,0.014 g,0.029 g,0.059 g,3.33 g,2.2 g,1.15 g,0,0,0,0,0,0,0.09 g,0.016 g,0.018 g,0.050 g,0.00 mg,0.0 g,1.14 g,0.00 mg,0.00 mg,94.12 g
