meal_id,name,meal_type,vegan,lac_vegan,ovo_vegan,ovo_lac_vegan,pescetarian
41,Chicken Parmesan Hero Sandwiches,breakfast,0,0,0,1,0
42,Chicken Parmesan Hero Sandwiches,lunch,0,0,0,1,0
43,Chicken Parmesan Hero Sandwiches,dinner,0,0,0,1,0
44,Oat and Whole-Wheat Waffles with Mango Sauce,breakfast,0,0,0,1,0
45,Millet Muffins with Honey-Pecan Butter,breakfast,0,0,0,1,0
46,Muffulettas,breakfast,0,0,0,1,0
47,Turkey Antipasto Panini,breakfast,0,0,0,1,0
48,Twice-Baked Potatoes,breakfast,0,1,0,1,0
49,Twice-Baked Potatoes,dinner,0,1,0,1,0
50,Buttermilk Biscuits,breakfast,0,1,0,1,0
51,Black Bean and Mango Quesadillas,breakfast,0,1,0,1,0
52,Easy Cheesy Bacon Biscuit Pull-Aparts,breakfast,0,0,0,1,0
53,Prosciutto Panini,breakfast,0,0,0,1,0
54,Grilled Chicken Quesadillas,breakfast,0,0,0,1,0
55,Grilled Chicken Quesadillas,lunch,0,0,0,1,0
56,Grilled Chicken Quesadillas,dinner,0,0,0,1,0
57,Crab Cakes,breakfast,0,0,0,0,0
58,Crab Cakes,lunch,0,0,0,0,0
59,Crab Cakes,dinner,0,0,0,0,0
60,Grilled Fontina Sandwiches with Prosciutto and Pear,breakfast,0,1,0,1,0
61,Maple Sausage Breakfast Burritos,breakfast,0,0,0,1,0
62,Huevos Rancheros,breakfast,0,0,0,1,0
63,"Sour Cream, Cheddar, and Chive Potato Waffles",breakfast,0,0,0,1,0
64,"Sour Cream, Cheddar, and Chive Potato Waffles",dinner,0,0,0,1,0
65,Steamed Brown Bread with Currants and Walnuts,breakfast,0,1,0,1,0
66,Thai Chicken Burgers,breakfast,0,0,0,0,0
67,Thai Chicken Burgers,lunch,0,0,0,0,0
68,Thai Chicken Burgers,dinner,0,0,0,0,0
69,Cinnamon-Streusel Coffee Cake,breakfast,0,0,0,1,0
70,Cinnamon-Streusel Coffee Cake,snack,0,0,0,1,0
71,Baja Fish Tacos,breakfast,1,1,1,1,1
72,Baja Fish Tacos,lunch,1,1,1,1,1
73,Baja Fish Tacos,dinner,1,1,1,1,1
74,Creme Brulee French Toast,breakfast,0,0,0,1,0
75,Creme Brulee French Toast,snack,0,0,0,1,0
76,Pasta Frittata,breakfast,0,0,0,1,0
77,Pasta Frittata,lunch,0,0,0,1,0
78,Pasta Frittata,dinner,0,0,0,1,0
79,Rolled Ham and Brie Omelette,breakfast,0,0,0,1,0
80,Crostini,breakfast,1,1,1,1,1
81,Baked Polenta with Cheese and Okra,breakfast,0,0,0,1,0
82,Baked Polenta with Cheese and Okra,dinner,0,0,0,1,0
83,Baby PB&J Bagel Sandwiches,breakfast,0,1,0,1,0
84,Sunshine Citrus Platter,breakfast,1,1,1,1,1
85,Huevo Ranchero Tostada,breakfast,0,0,0,1,0
86,Huevo Ranchero Tostada,lunch,0,0,0,1,0
87,Huevo Ranchero Tostada,dinner,0,0,0,1,0
88,Bacon-Cheddar Corn Muffins,breakfast,0,0,0,1,0
89,Vanilla and Cinnamon-Sugar Popcorn,breakfast,0,1,0,1,0
90,Blueberry-Cinnamon Muffins,breakfast,0,0,0,1,0
91,Rotes Pesto,breakfast,1,1,1,1,1
92,Cream of Mushroom Soup,breakfast,0,0,0,1,0
93,Cream of Mushroom Soup,snack,0,0,0,1,0
94,Scrambled Egg Tacos,breakfast,0,0,0,1,0
95,Pico de Gallo,breakfast,1,1,1,1,1
96,Pesto Focaccia Sandwich,breakfast,0,0,0,1,0
97,Chocolate Hazelnut Bark,breakfast,1,1,1,1,1
98,Chocolate Hazelnut Bark,snack,1,1,1,1,1
99,Broccoli Gratin,breakfast,1,1,1,1,1
100,Broccoli Gratin,dinner,1,1,1,1,1
101,Open-Faced Burgers with Onion-Mushroom Topping,breakfast,1,1,1,1,1
102,Peanut Butter Cups,breakfast,0,1,0,1,0
103,Peanut Butter Cups,snack,0,1,0,1,0
104,Meatball Sandwiches,breakfast,0,0,0,1,0
105,Meatball Sandwiches,lunch,0,0,0,1,0
106,Meatball Sandwiches,dinner,0,0,0,1,0
107,Pulled-Pork Sandwich,breakfast,0,0,0,0,0
108,Scrapple,breakfast,0,0,0,1,0
109,Scrapple,dinner,0,0,0,1,0
110,Curried Coconut Soup,breakfast,0,0,0,1,0
111,Curried Coconut Soup,snack,0,0,0,1,0
112,Baked Macaroni and Cheese,breakfast,0,1,0,1,0
113,Baked Macaroni and Cheese,lunch,0,1,0,1,0
114,Baked Macaroni and Cheese,dinner,0,1,0,1,0
115,Spicy Popcorn,breakfast,0,1,0,1,0
116,Cheese Puffs,breakfast,0,0,0,1,0
117,Mexican Breakfast Lasagna,breakfast,0,0,0,1,0
118,Huevos Motulenu0303os,breakfast,1,1,1,1,1
119,French Toast (pain Perdu),breakfast,0,0,0,1,0
120,French Baguette Sandwich,breakfast,0,1,0,1,0
121,Chicken Cordon Bleu,breakfast,0,0,0,1,0
122,Chicken Cordon Bleu,lunch,0,0,0,1,0
123,Chicken Cordon Bleu,dinner,0,0,0,1,0
124,Apple Chips,breakfast,0,0,0,0,1
125,French Onion Grilled Cheese #SundaySupper,breakfast,0,0,0,1,0
126,Pizza Stix,breakfast,0,0,0,1,0
127,Pizza Stix,lunch,0,0,0,1,0
128,Pizza Stix,dinner,0,0,0,1,0
129,Buttermilk-Banana Pancakes with Pomegranate Syrup,breakfast,0,0,0,1,0
130,French Omelets,breakfast,0,0,0,1,0
131,Gingerbread Pancakes with Pears and Yogurt,breakfast,0,0,0,1,0
132,Pizza Margherita,breakfast,0,1,0,1,0
133,Pizza Margherita,lunch,0,1,0,1,0
134,Pizza Margherita,dinner,0,1,0,1,0
135,Miniature Meatball Panini,breakfast,0,0,0,1,0
137,Pad Thai,breakfast,0,0,1,1,0
138,Pad Thai,lunch,0,0,1,1,0
139,Pad Thai,dinner,0,0,1,1,0
140,Pinwheel Italian Calzones,breakfast,0,1,0,1,0
141,Authentic Mexican Breakfast Tacos,breakfast,0,0,0,1,0
142,Southwestern Salad,breakfast,0,0,0,1,0
143,Southwestern Salad,lunch,0,0,0,1,0
144,Egg Fried Rice,breakfast,0,0,0,0,1
145,Egg Fried Rice,dinner,0,0,0,0,1
146,Hot Roast Beef Sandwiches,breakfast,1,1,1,1,1
147,Lasagne,breakfast,1,1,1,1,1
148,Lasagne,lunch,1,1,1,1,1
149,Lasagne,snack,1,1,1,1,1
150,Cheese Straws,breakfast,0,1,0,1,0
151,Praline French Toast,breakfast,0,0,0,1,0
152,Spiced Walnuts,breakfast,1,1,1,1,1
153,Meatloaf,breakfast,0,0,0,0,0
154,Meatloaf,lunch,0,0,0,0,0
155,Meatloaf,dinner,0,0,0,0,0
156,Fresh Tomato Salsa,breakfast,1,1,1,1,1
157,Caramelized Onion Dip,breakfast,0,1,0,1,0
158,Breakfast Burrito,breakfast,0,0,0,1,0
159,Sour Cream Biscuits,breakfast,0,0,0,1,0
160,Peanut Butter Chocolate Chip Oat Bites,breakfast,0,1,0,1,0
161,Peanut Butter Chocolate Chip Oat Bites,snack,0,1,0,1,0
162,Picnic-Perfect Lobster Rolls,breakfast,0,0,0,0,0
163,Mexican Breakfast Burrito,breakfast,0,0,0,1,0
164,Rhubarb-Sour Cream Snack Cake with Walnut Streusel,breakfast,0,0,0,1,0
165,Rhubarb-Sour Cream Snack Cake with Walnut Streusel,snack,0,0,0,1,0
166,White Bean Salad,breakfast,1,1,1,1,1
167,White Bean Salad,lunch,1,1,1,1,1
168,White Bean Salad,dinner,1,1,1,1,1
169,Wonton Soup,breakfast,0,0,0,0,1
170,Wonton Soup,snack,0,0,0,0,1
171,Oven Fries,breakfast,0,0,0,0,1
172,Oven Fries,dinner,0,0,0,0,1
173,Panzanella,breakfast,0,1,0,1,0
174,Panzanella,lunch,0,1,0,1,0
175,Mushroom Burgers,breakfast,0,1,0,1,0
176,Mushroom Burgers,lunch,0,1,0,1,0
177,Mushroom Burgers,dinner,0,1,0,1,0
178,Oven-Fried Chicken,breakfast,0,0,0,1,0
179,Oven-Fried Chicken,lunch,0,0,0,1,0
180,Oven-Fried Chicken,dinner,0,0,0,1,0
181,Sweet Potato-Pecan Pancakes,breakfast,0,0,0,1,0
182,Veggie Burgers,breakfast,0,0,0,0,0
183,Veggie Burgers,lunch,0,0,0,0,0
184,Veggie Burgers,dinner,0,0,0,0,0
185,Chilaquiles,breakfast,0,0,1,1,0
186,Chilaquiles,dinner,0,0,1,1,0
187,California Wrap'n,breakfast,0,0,0,0,0
188,Broccoli Rabe-and-Provolone Panini,breakfast,0,0,0,1,0
189,Canadian-Bacon Strata,breakfast,0,0,0,1,0
190,Thai Fried Bananas,breakfast,1,1,1,1,1
191,Thai Fried Bananas,snack,1,1,1,1,1
192,Antipasto,breakfast,0,0,0,1,0
193,Cheese Grits,breakfast,0,1,0,1,0
194,Cheese Grits,dinner,0,1,0,1,0
195,Thailau0308ndische Fruu0308hlingsrou0308llchen - Po Piah,breakfast,1,1,1,1,1
196,Brown Rice and Gai Lan Jook (Rice Porridge),breakfast,1,1,1,1,1
197,Brown Rice and Gai Lan Jook (Rice Porridge),snack,1,1,1,1,1
198,Brown Rice and Gai Lan Jook (Rice Porridge),dinner,1,1,1,1,1
202,Quick Pizza Margherita,breakfast,0,1,0,1,0
203,Quick Pizza Margherita,lunch,0,1,0,1,0
204,Quick Pizza Margherita,dinner,0,1,0,1,0
205,Chinese Chicken Salad,breakfast,0,0,0,0,0
206,Chinese Chicken Salad,lunch,0,0,0,0,0
207,Arancini (Italian Rice Balls),breakfast,0,0,0,1,0
208,Sour Cream Chicken Enchiladas,breakfast,0,0,0,1,0
209,Sour Cream Chicken Enchiladas,lunch,0,0,0,1,0
210,Sour Cream Chicken Enchiladas,dinner,0,0,0,1,0
211,Crab Salad Sandwich,breakfast,0,0,0,0,1
213,Barbecue Beef Sandwiches,breakfast,0,0,0,0,0
214,Italian Meatballs,breakfast,0,0,0,0,0
215,Italian Meatballs,lunch,0,0,0,0,0
216,Italian Meatballs,dinner,0,0,0,0,0
217,Spicy Citrus Popcorn,breakfast,1,1,1,1,1
218,Mixed-Berry Dutch Baby,breakfast,0,0,0,1,0
219,Mixed-Berry Dutch Baby,snack,0,0,0,1,0
220,Grilled Pork Tenderloin Sandwiches,breakfast,0,0,0,0,0
221,Grilled Pork Tenderloin Sandwiches,lunch,0,0,0,0,0
222,Grilled Pork Tenderloin Sandwiches,dinner,0,0,0,0,0
223,Southwestern Chipotle Chicken Wrap,breakfast,0,0,0,1,0
224,Salmon BLT,breakfast,0,0,0,0,0
225,Salmon BLT,lunch,0,0,0,0,0
226,Salmon BLT,dinner,0,0,0,0,0
227,Italienischer Salat mit Hau0308hnchenbrust,breakfast,0,0,0,0,0
228,Italienischer Salat mit Hau0308hnchenbrust,lunch,0,0,0,0,0
229,Grits with Sausage,breakfast,0,0,0,1,0
230,Grits with Sausage,lunch,0,0,0,1,0
231,Grits with Sausage,dinner,0,0,0,1,0
232,Holiday Brunch Tonic,breakfast,1,1,1,1,1
233,Holiday Brunch Tonic,snack,1,1,1,1,1
234,Italian Burgers,breakfast,0,0,0,1,0
235,Italian Burgers,lunch,0,0,0,1,0
236,Italian Burgers,dinner,0,0,0,1,0
237,Calzone Pinwheels,breakfast,0,1,0,1,0
238,Cherry Clafouti,breakfast,0,0,0,1,0
239,Cherry Clafouti,snack,0,0,0,1,0
240,BBQ Swiss Turkey Burgers,breakfast,0,0,0,1,0
241,BBQ Swiss Turkey Burgers,lunch,0,0,0,1,0
242,BBQ Swiss Turkey Burgers,dinner,0,0,0,1,0
243,Turkey Reuben Panini,breakfast,0,0,0,1,0
247,Chicken Salad Sandwich,breakfast,0,0,0,1,0
248,Salsa Fresca,breakfast,1,1,1,1,1
249,French Crepes,breakfast,0,0,0,1,0
250,Whole-Wheat Blueberry Pancakes,breakfast,0,1,0,1,0
251,Grilled Cheese with Guacamole,breakfast,0,1,0,1,0
252,Eggplant Pizza,breakfast,0,0,1,1,0
253,Eggplant Pizza,lunch,0,0,1,1,0
254,Eggplant Pizza,dinner,0,0,1,1,0
255,MEXICAN SCRAMBLED EGGS,breakfast,0,0,1,1,0
256,Homemade Flour Tortillas,breakfast,1,1,1,1,1
257,Bacon and Cheese Egg McMuffin Cups,breakfast,0,0,0,1,0
258,Salmon Sandwiches,breakfast,0,0,0,0,1
259,Crazy Good Spicy Italian Popcorn,breakfast,0,0,0,1,0
260,Indian Spicy Omelette,breakfast,0,0,1,1,0
264,Fava Leaf and Parsley Quiche,breakfast,0,0,0,1,0
265,Breakfast Pizza,breakfast,0,0,0,0,0
266,Mexican Lasagna,breakfast,0,0,0,1,0
267,Mexican Lasagna,lunch,0,0,0,1,0
268,Mexican Lasagna,dinner,0,0,0,1,0
269,Black Eyed Peas u2018Pump Itu2019 Power Lunch,breakfast,0,0,0,1,0
270,Sloppy Joe Sandwiches,breakfast,0,0,0,0,0
271,Char Siuu2013glazed Pork and Pineapple Buns,breakfast,0,0,0,0,0
272,Char Siuu2013glazed Pork and Pineapple Buns,lunch,0,0,0,0,0
273,Char Siuu2013glazed Pork and Pineapple Buns,dinner,0,0,0,0,0
277,Witch's Purse,breakfast,0,0,0,0,0
278,Dripping Beef Sandwiches,breakfast,0,0,0,1,0
281,Turkey Reubens,breakfast,0,0,0,1,0
282,Turkey Reubens,lunch,0,0,0,1,0
283,Turkey Reubens,dinner,0,0,0,1,0
284,Fried Green Tomatoes,breakfast,0,0,1,1,0
285,Fried Green Tomatoes,dinner,0,0,1,1,0
286,Butter-Sugar Crepes,breakfast,0,0,0,1,0
287,Garlic Fries,breakfast,1,1,1,1,1
288,Garlic Fries,dinner,1,1,1,1,1
289,Turkey Taco Salad,breakfast,0,0,0,1,0
290,Turkey Taco Salad,lunch,0,0,0,1,0
291,Turkey Taco Salad,dinner,0,0,0,1,0
293,Bruschetta,breakfast,1,1,1,1,1
294,Steak Sandwiches with Horseradish Mustard Butter and Watercress,breakfast,0,0,0,1,0
295,Taco Salad,breakfast,0,0,0,1,0
296,Taco Salad,lunch,0,0,0,1,0
297,Taco Salad,dinner,0,0,0,1,0
298,Southern Fried Eggs Over Buttermilk Biscuits with Sausage Gravy,breakfast,0,0,0,1,0
301,Lobster Frittata,breakfast,0,0,0,1,0
302,Lobster Frittata,lunch,0,0,0,1,0
303,Lobster Frittata,dinner,0,0,0,1,0
304,Breakfast Burritos,breakfast,0,0,0,1,0
305,Chicken Salad,breakfast,0,0,0,0,0
306,Chicken Salad,lunch,0,0,0,0,0
307,Slow Cooker Breakfast Burrito,breakfast,0,0,1,1,0
308,Salmon Club Sandwiches,breakfast,0,0,0,0,0
309,Salmon Club Sandwiches,lunch,0,0,0,0,0
310,Salmon Club Sandwiches,dinner,0,0,0,0,0
311,Pumpkin Pancakes,breakfast,0,0,0,1,0
312,Jambalaya,breakfast,0,0,0,1,0
313,Jambalaya,lunch,0,0,0,1,0
314,Jambalaya,dinner,0,0,0,1,0
315,Gazpacho,breakfast,0,0,0,0,1
316,Gazpacho,snack,0,0,0,0,1
317,Quiche,breakfast,0,0,0,1,0
318,Quiche,lunch,0,0,0,1,0
319,Quiche,dinner,0,0,0,1,0
320,Grilled Chicken Salad,breakfast,1,1,1,1,1
321,Grilled Chicken Salad,lunch,1,1,1,1,1
322,Grilled Chicken Salad,dinner,1,1,1,1,1
323,French Toast with Maple-Strawberry Sauce,breakfast,0,0,0,1,0
324,Whole Wheat Buttermilk Pancakes,breakfast,0,0,0,1,0
325,Morel And Scallion Omelet,breakfast,0,0,0,1,0
326,"Artichoke, Leek, and Fontina Frittata",breakfast,0,0,0,1,0
327,"Artichoke, Leek, and Fontina Frittata",lunch,0,0,0,1,0
328,"Artichoke, Leek, and Fontina Frittata",dinner,0,0,0,1,0
329,Pasta e Fagioli,breakfast,0,0,0,1,0
330,Pasta e Fagioli,snack,0,0,0,1,0
331,Guacamole,breakfast,1,1,1,1,1
332,Salami Panini,breakfast,0,0,0,1,0
333,Liege Waffles,breakfast,0,0,0,1,0
334,Steak Sandwiches with Tarragon Mayonnaise,breakfast,1,1,1,1,1
335,Tropical Fruit Parfaits,breakfast,0,1,0,1,0
336,Tropical Fruit Parfaits,snack,0,1,0,1,0
337,Pork Quesadillas,breakfast,0,0,0,1,0
338,Pork Quesadillas,lunch,0,0,0,1,0
339,Pork Quesadillas,dinner,0,0,0,1,0
340,Lobster Mac and Cheese,breakfast,0,0,0,1,0
341,Lobster Mac and Cheese,lunch,0,0,0,1,0
342,Lobster Mac and Cheese,dinner,0,0,0,1,0
343,Egg Salad Sandwich,breakfast,0,0,0,0,0
344,Curried Egg Salad in Mini Pitas,breakfast,0,0,0,0,0
345,Italian Panini,breakfast,0,0,1,1,0
346,Black Bean Burgers,breakfast,0,0,1,1,0
347,Black Bean Burgers,lunch,0,0,1,1,0
348,Black Bean Burgers,dinner,0,0,1,1,0
349,Penne Frittata with Basil and Ricotta,breakfast,0,0,0,1,0
350,Penne Frittata with Basil and Ricotta,lunch,0,0,0,1,0
351,Penne Frittata with Basil and Ricotta,dinner,0,0,0,1,0
352,Potato and Kale Spanish Tortilla,breakfast,0,0,1,1,0
353,"Asparagus, Ham, and Fontina Bread Puddings",breakfast,0,0,0,1,0
354,"Asparagus, Ham, and Fontina Bread Puddings",lunch,0,0,0,1,0
355,"Asparagus, Ham, and Fontina Bread Puddings",dinner,0,0,0,1,0
356,Chicken Salad Surprise,breakfast,0,0,0,0,0
357,Chicken Salad Surprise,lunch,0,0,0,0,0
358,Morgan's Breakfast Polenta,breakfast,0,1,0,1,0
359,Wholesome Morning Granola,breakfast,1,1,1,1,1
360,Chicken Parmigiana,breakfast,0,0,0,1,0
361,Chicken Parmigiana,lunch,0,0,0,1,0
362,Chicken Parmigiana,dinner,0,0,0,1,0
363,Harvest Salad,breakfast,0,0,0,1,0
364,Harvest Salad,lunch,0,0,0,1,0
365,"Bacon, Egg and Leek Risotto",breakfast,0,0,0,1,0
366,Pressed Italian Sandwiches,breakfast,0,0,0,0,0
367,Zucchini-Fig Mini Cakes,breakfast,0,0,0,1,0
368,Zucchini-Fig Mini Cakes,snack,0,0,0,1,0
369,Asparagus Risotto,breakfast,0,0,0,1,0
370,Asparagus Risotto,dinner,0,0,0,1,0
371,Bean Chilaquiles with Avocado & Queso Fresco,breakfast,0,0,0,1,0
375,Queso Dip,breakfast,0,1,0,1,0
376,Seafood Salad,breakfast,0,0,0,0,1
377,Seafood Salad,lunch,0,0,0,0,1
378,Seafood Salad,dinner,0,0,0,0,1
379,BBQ Chicken Sandwiches,breakfast,0,0,0,1,0
380,BBQ Chicken Sandwiches,lunch,0,0,0,1,0
381,BBQ Chicken Sandwiches,dinner,0,0,0,1,0
382,Roasted Cauliflower,breakfast,1,1,1,1,1
383,Roasted Cauliflower,dinner,1,1,1,1,1
384,#WeekdaySupper Italian Pressed Sandwich,breakfast,0,0,0,0,0
386,Spinach and Gruyere Omelette,breakfast,0,0,0,1,0
388,Succotash Salad,breakfast,1,1,1,1,1
389,Succotash Salad,lunch,1,1,1,1,1
390,Succotash Salad,dinner,1,1,1,1,1
391,Potato Chips with Blue Cheese Dip,breakfast,0,1,0,1,0
392,Fried Rice,breakfast,0,0,0,0,0
393,Fried Rice,lunch,0,0,0,0,0
394,Fried Rice,dinner,0,0,0,0,0
395,Denver Scramble,breakfast,0,0,0,1,0
396,Asian Lettuce Wraps,breakfast,0,0,0,1,1
397,Cranberry-Almond Granola Bars,breakfast,0,1,0,1,0
398,Garlic-Cheese Grits,breakfast,0,1,0,1,0
399,Garlic-Cheese Grits,dinner,0,1,0,1,0
400,Scrambled-Egg Tacone,breakfast,0,0,0,1,0
402,Tarragon-Caper Egg Salad Sandwiches with Smoked Salmon,breakfast,0,0,0,0,0
403,Spring Vegetable Quiche,breakfast,0,0,0,1,0
404,Spring Vegetable Quiche,lunch,0,0,0,1,0
405,Spring Vegetable Quiche,dinner,0,0,0,1,0
406,Chinese Pork And Cabbage Dumplings,breakfast,0,0,0,0,0
407,3-cheese Stromboli,breakfast,0,1,0,1,0
408,3-cheese Stromboli,lunch,0,1,0,1,0
409,3-cheese Stromboli,dinner,0,1,0,1,0
410,Sweet Potato Biscuits,breakfast,0,1,0,1,0
411,Sweet Potato Biscuits,dinner,0,1,0,1,0
412,Oatmeal Raisin Cookies,breakfast,0,0,0,1,0
413,Oatmeal Raisin Cookies,snack,0,0,0,1,0
414,"Open-Faced Egg, Bacon, and Watercress Sandwich",breakfast,0,0,0,0,0
415,Barbecue Sweet Potato Chips,breakfast,1,1,1,1,1
418,"Quiche Lorraine, vegetarisch",breakfast,0,0,0,0,0
419,"Quiche Lorraine, vegetarisch",lunch,0,0,0,0,0
420,"Quiche Lorraine, vegetarisch",snack,0,0,0,0,0
421,"Quiche Lorraine, vegetarisch",dinner,0,0,0,0,0
422,French Onion Soup,breakfast,0,0,0,1,0
423,French Onion Soup,snack,0,0,0,1,0
424,Curried Chicken Salad Tea Sandwiches,breakfast,0,0,0,0,0
425,Chorizo Breakfast Enchilada Casserole,breakfast,0,0,0,1,0
426,Chorizo Breakfast Enchilada Casserole,lunch,0,0,0,1,0
427,Chorizo Breakfast Enchilada Casserole,dinner,0,0,0,1,0
428,Macaroni and Cheese,breakfast,0,0,0,1,0
429,Macaroni and Cheese,lunch,0,0,0,1,0
430,Macaroni and Cheese,dinner,0,0,0,1,0
431,Waldorf Salad,breakfast,0,0,0,0,1
432,Waldorf Salad,lunch,0,0,0,0,1
433,Waldorf Salad,dinner,0,0,0,0,1
434,Stuffed Zucchini,breakfast,0,1,0,1,0
435,Stuffed Zucchini,dinner,0,1,0,1,0
436,Roasted Stuffed Tomatoes,breakfast,1,1,1,1,1
437,Roasted Stuffed Tomatoes,dinner,1,1,1,1,1
438,Chicken and Lentil Salad,breakfast,0,0,0,0,0
439,Chicken and Lentil Salad,lunch,0,0,0,0,0
440,Chicken and Lentil Salad,dinner,0,0,0,0,0
441,Chipotle Salsa,breakfast,0,0,0,0,1
442,New England Lobster Rolls,breakfast,0,0,0,1,0
443,New England Lobster Rolls,lunch,0,0,0,1,0
444,New England Lobster Rolls,dinner,0,0,0,1,0
445,Asparagus Mimosa,breakfast,0,0,1,1,0
446,Cheese-Stuffed French Toast with Strawberry Sauce,breakfast,0,0,0,1,0
447,"Poached Eggs with Roasted Tomatoes, Mushrooms, and Ham",breakfast,0,0,0,0,0
448,"Poached Eggs with Roasted Tomatoes, Mushrooms, and Ham",lunch,0,0,0,0,0
449,"Poached Eggs with Roasted Tomatoes, Mushrooms, and Ham",dinner,0,0,0,0,0
453,Fudgy Brownies,breakfast,0,0,0,1,0
454,Fudgy Brownies,snack,0,0,0,1,0
455,Italian Tuna Salad,breakfast,0,0,0,0,1
456,Italian Tuna Salad,lunch,0,0,0,0,1
460,Barbecue Pizza Bites,breakfast,0,1,0,1,0
461,Roasted Tomato Soup,breakfast,1,1,1,1,1
462,Roasted Tomato Soup,snack,1,1,1,1,1
466,Fresh Cherry Smoothie,breakfast,0,1,0,1,0
467,Fresh Cherry Smoothie,snack,0,1,0,1,0
468,Individual Bacon-and-Egg Pizzas,breakfast,0,0,0,0,0
469,Individual Bacon-and-Egg Pizzas,lunch,0,0,0,0,0
470,Individual Bacon-and-Egg Pizzas,dinner,0,0,0,0,0
471,Southern Pulled-Pork Sandwiches,breakfast,0,0,0,0,0
472,Southern Pulled-Pork Sandwiches,lunch,0,0,0,0,0
473,Southern Pulled-Pork Sandwiches,dinner,0,0,0,0,0
474,Stir Fry,breakfast,0,0,0,0,0
475,Stir Fry,lunch,0,0,0,0,0
476,Stir Fry,dinner,0,0,0,0,0
477,Corned Beef Hash,breakfast,0,0,0,1,0
478,Corned Beef Hash,lunch,0,0,0,1,0
479,Corned Beef Hash,dinner,0,0,0,1,0
480,All-American Granola,breakfast,1,1,1,1,1
481,Blackberry-Mango Breakfast Shake,breakfast,1,1,1,1,1
482,Blackberry-Mango Breakfast Shake,snack,1,1,1,1,1
483,Panzanella Salad,breakfast,0,0,0,1,0
484,Panzanella Salad,lunch,0,0,0,1,0
485,Leftover Pasta Frittata,breakfast,0,0,0,1,0
486,Leftover Pasta Frittata,lunch,0,0,0,1,0
487,Leftover Pasta Frittata,dinner,0,0,0,1,0
488,Recipes and Love From Our Tuscan Kitchen',breakfast,0,0,0,1,0
489,Grilled Hawaiian Chicken and Pineapple Sandwiches,breakfast,0,0,0,1,0
490,Grilled Hawaiian Chicken and Pineapple Sandwiches,lunch,0,0,0,1,0
491,Grilled Hawaiian Chicken and Pineapple Sandwiches,dinner,0,0,0,1,0
492,Skinny Mexican Breakfast Casserole,breakfast,0,0,0,1,0
493,Skinny Mexican Breakfast Casserole,lunch,0,0,0,1,0
494,Skinny Mexican Breakfast Casserole,dinner,0,0,0,1,0
495,Basilikum - Sesam - Pasta mit Feta,breakfast,1,1,1,1,1
496,Basilikum - Sesam - Pasta mit Feta,lunch,1,1,1,1,1
497,Basilikum - Sesam - Pasta mit Feta,dinner,1,1,1,1,1
498,Creme Brulee French Toast with Creamy Maple Syrup,breakfast,0,0,0,1,0
499,Open-Faced Baguette with Cured Salmon and Sauce Tartare,breakfast,0,0,1,1,0
